parent,definition,children,translation,label,label1,label2,label3
plot,the story that is told in a novel or play or movie etc.,"action,storyline","action,storyline",0.0,0.0,,
inhalation anesthetic,-,ether,эфир,1.0,1.0,,
category,a general concept that marks divisions or coordinations in a conceptual scheme,"pigeonhole,rubric,way","ячейка,рубрика,способ",1.0,1.0,,
pesticide,-,insecticide,FOSFORORGANICHESKIE INSEKTITSIDY,1.0,1.0,,
designation,the act of designating or identifying something,diagnosis,диагностика,0.0,0.0,,
reveler,a celebrant who shares in a noisy party,roisterer,roisterer,0.0,0.0,,
rich person,-,man of means,a man of means,1.0,1.0,,
fan palm,-,palmetto,palmetto,1.0,1.0,,
instigator,someone who deliberately foments trouble,ringleader,Главарь,1.0,1.0,,
enuresis,inability to control the flow of urine and involuntary urination,"bed-wetting,overflow incontinence,stress incontinence,urge incontinence","ночное недержание мочи,переливное недержание мочи,стрессовое недержание мочи,позывное недержание мочи",1.0,1.0,,
ink-jet printer,a printer that produces characters by projecting electrically charged droplets of ink,bubble jet printer,пузырьковый струйный принтер,1.0,1.0,,
abandonment,the act of giving something up,"apostasy,bolt,exposure","вероотступничество,болт,воздействие",0.0,0.0,,
foxtail,-,foxtail millet,PROSO GERMANSKOE,1.0,1.0,,
aortitis,inflammation of the aorta,rheumatic aortitis,ревматический аортит,1.0,1.0,,
Norwegian monetary unit,monetary unit in Norway,Norwegian krone,Норвежская крона,1.0,1.0,,
brokerage account,-,cash account,ДЕНЕЖНЫЙ СЧЕТ,1.0,1.0,,
baked potato,potato that has been cooked by baking it in an oven,jacket potato,Картофель в мундире,0.0,0.0,,
militant,a militant reformer,"Black Muslim,Black Panther","Черный мусульманин,Черная пантера",1.0,1.0,,
margarine,a spread made chiefly from vegetable oils and used as a substitute for butter,stick,зубчик,0.0,0.0,,
dispersion,the act of dispersing or diffusing something,crop-dusting,пылеулавливание,1.0,1.0,,
woody plant,-,tree,дерево,0.0,0.0,,
bleach,the act of whitening something by bleaching it (exposing it to sunlight or using a chemical bleaching agent),etiolation,DEETIOLIROVANIE,1.0,1.0,,
transformer,-,step-up transformer,повышающий трансформатор,1.0,1.0,,
"woman,head of household",an adult female person (as opposed to a man),matriarch,matriarch,0.0,0.0,,
vanilla,any of numerous climbing plants of the genus Vanilla having fleshy leaves and clusters of large waxy highly fragrant white or green or topaz flowers,vanilla orchid,ванильная орхидея,1.0,1.0,,
Chinese,a native or inhabitant of Communist China or of Nationalist China,"Boxer,chink","Боксер,чинк",1.0,1.0,,
big cat,-,saber-toothed tiger,саблезубый тигр,1.0,1.0,,
comb,any of several tools for straightening fibers,hatchel,hatchel,1.0,1.0,,
packrat,any of several bushy-tailed rodents of the genus Neotoma of western North America; hoards food and other objects,dusky-footed woodrat,вудрат с темными ногами,1.0,1.0,,
one-step,an early ballroom dance; precursor to the fox-trot,turkey trot,индейка рысь,1.0,1.0,,
earth science,-,oceanography,Океанография,0.0,0.0,,
straight line,-,vector,Вектор,1.0,1.0,,
shearing,removing by cutting off or clipping,sheepshearing,стрижка овец,1.0,1.0,,
lady's slipper,-,yellow lady's slipper,женские тапочки желтого цвета,0.0,0.0,,
sweet pepper,large mild crisp thick-walled capsicum peppers usually bell-shaped or somewhat oblong; commonly used in salads,"bell pepper,globe pepper","болгарский перец, перец глобус",0.0,0.0,,
bun,-,onion roll,рулет с луком,0.0,0.0,,
oxide,-,trioxide,триоксид,1.0,1.0,,
labor contract,contract between labor and management governing wages and benefits and working conditions,yellow-dog contract,контракт с желтой собакой,1.0,1.0,,
creditor,a person to whom money is owed by a debtor; someone to whom an obligation exists,mortgagee,залогодержатель; кредитор по закладной,0.0,0.0,,
depressive disorder,-,major depressive episode,большой депрессивный эпизод,1.0,1.0,,
hate,-,misoneism,мизонеизм,1.0,1.0,,
polyp,a small vascular growth on the surface of a mucous membrane,adenomatous polyp,ADENOMATOZNYE POLIPY,1.0,1.0,,
"workhorse,pack animal",a horse used for plowing and hauling and other heavy labor,packhorse,пакхорс,1.0,1.0,,
epistemology,the philosophical theory of knowledge,methodology,проекта (РКП),1.0,1.0,,
"excavation,storage space",a hole in the ground made by excavating,root cellar,Погреб,1.0,1.0,,
"exteroception,modality",sensitivity to stimuli originating outside of the body,smell,пахнуть,1.0,1.0,,
sovereign,-,king,король,0.0,0.0,,
sensitivity,the ability to respond to physical stimuli or to register small physical amounts or differences,frequency response,Частотная характеристика,1.0,1.0,,
technology,-,rail technology,рельсовая технология,1.0,1.0,,
jewelry,-,pin,пин-код,0.0,0.0,,
"consumer goods,covering",goods (as food or clothing) intended for direct use or consumption,clothing,clothing,0.0,0.0,,
reed stop,an organ stop with the tone of a reed instrument,vox humana,vox humana,1.0,1.0,,
volume unit,-,metric capacity unit,единица метрической мощности,1.0,1.0,,
atmospheric phenomenon,-,storm,шторм,0.0,0.0,,
pulse counter,an electronic counter that counts the number of electric pulses,scaler,&amp; Метод масштабирования,1.0,1.0,,
membership card,a card certifying membership in an organization,union card,профсоюзная карта,1.0,1.0,,
rookery,a breeding ground for gregarious birds (such as rooks),heronry,херонри,1.0,1.0,,
vertebrate,-,tetrapod,тетрапод,1.0,1.0,,
spelling,forming words with letters according to the principles underlying accepted usage,misspelling,опечатка,0.0,0.0,,
depression,pushing down,click,клик,1.0,1.0,,
science,-,systematics,KLASSIFIKATSIIA,0.0,0.0,,
kudu,either of two spiral-horned antelopes of the African bush,greater kudu,большая куду,1.0,1.0,,
doctor's degree,-,Doctor of Philosophy,Доктор философии,0.0,0.0,,
country house,a house (usually large and impressive) on an estate in the country,"chateau,dacha,shooting lodge,summer house,villa,villa","замок,дача,тир,летний домик,вилла,вилла",0.0,0.0,,
comity,a state or atmosphere of harmony or mutual civility and respect,comity of nations,вежливость наций,1.0,1.0,,
pustule,a small inflamed elevation of skin containing pus; a blister filled with pus,pock,pock,1.0,1.0,,
positional notation,-,decimal numeration system,десятичная система счисления,1.0,1.0,,
washer,seal consisting of a flat disk placed to prevent leakage,lockring,Lockring,1.0,1.0,,
ice-skater,someone who engages in ice skating,speedskater,speedskater,1.0,1.0,,
luminescence,light not due to incandescence; occurs at low temperatures,"bioluminescence,chemiluminescence","биолюминесценция,хемилюминесценция",1.0,1.0,,
cattle,-,dairy cattle,молочный скот,1.0,1.0,,
ventricle,one of four connected cavities in the brain; is continuous with the central canal of the spinal cord and contains cerebrospinal fluid,"fourth ventricle,lateral ventricle,third ventricle","четвертый желудочек,боковой желудочек,третий желудочек",1.0,1.0,,
crux,the most important point,alpha and omega,Альфа и Омега,1.0,1.0,,
predecessor,one who precedes you in time (as in holding a position or office),forefather,Forefather,0.0,0.0,,
airfoil,-,stabilizer,стабилизатор,1.0,1.0,,
higher cognitive process,-,search,поиск,1.0,1.0,,
myeloma,a tumor of the bone marrow (usually malignant) composed of cells normally found in bone marrow,multiple myeloma,BOLEZN&apos; RUSTITSKOGO-KALERA,1.0,1.0,,
raincoat,-,macintosh,Macintosh,0.0,0.0,,
exposure,presentation to view in an open or public manner,repudiation,отказ от обязательств,1.0,1.0,,
polymorphism,(chemistry) the existence of different kinds of crystal of the same chemical compound,dimorphism,Полиморфизм,1.0,1.0,,
"sin,religious doctrine",an act that is regarded by theologians as a transgression of God's will,original sin,English,1.0,1.0,,
order,"(often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed","marching orders,word","приказы марша,слово",1.0,1.0,,
broadax,a large ax with a broad cutting blade,battle-ax,battle-ax,1.0,1.0,,
scent,an odor left in passing by which a person or animal can be traced,musk,Мускус,1.0,1.0,,
avalanche,a slide of large masses of snow and ice and mud down a mountain,lahar,Лахар,1.0,1.0,,
antibacterial,-,sulfa drug,Сульфаниламиды,1.0,1.0,,
helmet,armor plate that protects the head,"armet,basinet,morion,heaume,pickelhaube,sallet","armet,basinet,morion,heaume,pickelhaube,sallet",1.0,1.0,,
function,what something is used for,raison d'etre,raison d 'etre,1.0,1.0,,
wisteria,any flowering vine of the genus Wisteria,"American wistaria,Chinese wistaria,Japanese wistaria,silky wisteria","Американская вистария,китайская вистария,японская вистария,шелковистая глициния",1.0,1.0,,
Sioux,-,Teton,Титон,1.0,1.0,,
blunder,an embarrassing mistake,"bobble,bull,clanger,faux pas,fluff","bobble,bull,clanger,faux pas,пух",1.0,1.0,,
single-reed instrument,-,clarinet,Кларнет,1.0,1.0,,
geniculate body,one of four small oval masses that protrude slightly from the underside of the thalamus and function as synaptic centers on the way to the cerebral cortex,"lateral geniculate body,medial geniculate body","боковое тело коленчатого сустава,медиальное тело коленчатого сустава",1.0,1.0,,
cloak,a loose outer garment,"burnous,caftan,capote,capuchin,cope,dolman,domino,jellaba,opera cloak,pallium,poncho,wrap","бледный,кафтан, капоте,капуцин,коуп,дольман,домино,джеллаба,оперный плащ,паллий,пончо,обертывание",1.0,1.0,,
dress uniform,a military uniform worn on formal occasions,dress blues,платье блюз,1.0,1.0,,
butt,a large cask (especially one holding a volume equivalent to 2 hogsheads or 126 gallons),water butt,Водохлеб,1.0,1.0,,
appellation,-,title,название,0.0,0.0,,
sweet,a food rich in sugar,"candied apple,center,comfit,confectionery,hardbake,maraschino,nonpareil,sweetmeat","засахаренное яблоко,центр, комфит,кондитерские изделия, твердая выпечка,мараскино, нонпарейл, сладкое мясо",1.0,1.0,,
wild rye,any of several grasses of the genus Elymus,Canada wild rye,Канадская дикая рожь,1.0,1.0,,
quetzal,large trogon of Central America and South America having golden-green and scarlet plumage,resplendent quetzel,блистательный кетцель,1.0,1.0,,
gown,"a woman's dress, usually with a close-fitting bodice and a long flared skirt, often worn on formal occasions","ball gown,bridal gown","бальное платье,свадебное платье",0.0,0.0,,
radiance,the amount of electromagnetic radiation leaving or arriving at a point on a surface,aureole,ореол,1.0,1.0,,
craze,state of violent mental agitation,"mass hysteria,nympholepsy","массовая истерия,нимфолепсия",1.0,1.0,,
gastropod,-,snail,улитка,1.0,1.0,,
copepod,minute marine or freshwater crustaceans usually having six pairs of limbs on the thorax; some abundant in plankton and others parasitic on fish,brit,* .,1.0,1.0,,
biography,-,autobiography,автобиография,0.0,0.0,,
coal,-,lignite,бурый уголь,1.0,1.0,,
hawkishness,any political orientation favoring aggressive policies,"militarism,warmongering","милитаризм,разжигание войны",1.0,1.0,,
Juneberry,any of various North American trees or shrubs having showy white flowers and edible blue-black or purplish fruit,"alderleaf Juneberry,Bartram Juneberry","олдерлиф джунберри,бартрам джунберри",1.0,1.0,,
instigator,someone who deliberately foments trouble,ringleader,Главарь,1.0,1.0,,
graduate school,a school in a university offering study leading to degrees beyond the bachelor's degree,"business school,dental school,law school,medical school","бизнес-школа,стоматологическая школа,юридическая школа,медицинская школа",0.0,0.0,,
concept,-,whole,весь,0.0,0.0,,
master,an authority qualified to teach apprentices,past master,прошлый мастер,0.0,0.0,,
rifleman,a soldier whose weapon is a rifle,carbineer,Карабинер,1.0,1.0,,
dysplasia,-,hypertrophy,гипертрофия,1.0,1.0,,
simple closed curve,a closed curve that does not intersect itself,loop,Цикл,1.0,1.0,,
great circle,-,meridian,верхушка,1.0,1.0,,
sense organ,-,organ of hearing,Орган слуха,1.0,1.0,,
sexual desire,-,amorousness,влюбчивость,0.0,0.0,,
bottle,the quantity contained in a bottle,split,разбивка,1.0,1.0,,
reception room,a room for receiving and entertaining visitors (as in a private house or hotel),"drawing room,parlor","гостиная,салон",1.0,1.0,,
Irish person,-,Irishman,Ирландец,0.0,0.0,,
reed stop,an organ stop with the tone of a reed instrument,vox humana,vox humana,1.0,1.0,,
adoption,the act of accepting with approval; favorable reception,embrace,заключать в себе,0.0,0.0,,
head of household,the head of a household or family or tribe,matriarch,matriarch,1.0,1.0,,
"butter,margarine",an edible emulsion of fat globules made by churning milk or cream; for cooking and table use,stick,зубчик,1.0,1.0,,
water rat,any of various amphibious rats,beaver rat,бобровая крыса,1.0,1.0,,
right,those who support political or social or economic conservatism; those who believe that things are better left unchanged,"hard right,religious right","крайне правые,религиозные правые",1.0,1.0,,
gender,a grammatical category in inflected languages governing the agreement between nouns and pronouns and adjectives; in some languages it is quite arbitrary but in Indo-European languages it is usually based on sex or animateness,"feminine,masculine,neuter","женский,мужской,средний",0.0,0.0,,
socialist,-,communist,Коммунистический,0.0,0.0,,
board game,-,pachisi,pachisi,1.0,1.0,,
conversation,-,tete-a-tete,тет-а-тет,0.0,0.0,,
angiosperm,-,wildflower,полевой цветок,1.0,1.0,,
covering material,-,plaster,пластырь,1.0,1.0,,
social worker,someone employed to provide social services (especially to the disadvantaged),almoner,almoner,1.0,1.0,,
alloy steel,-,tool steel,инструментальная сталь ,1.0,1.0,,
"aldehyde,gas",any of a class of highly reactive chemical compounds; used in making resins and dyes and organic acids,formaldehyde,формальдегид,1.0,1.0,,
leverage,strategic advantage; power to act effectively,bargaining chip,козырь,1.0,1.0,,
hotel,-,resort,РАЗВЛЕКАТЕЛЬНЫЙ ТУРИСТИЧЕСКИЙ КОМПЛЕКС,0.0,0.0,,
milkweed,any of numerous plants of the genus Asclepias having milky juice and pods that split open releasing seeds with downy tufts,"Mead's milkweed,white milkweed,blood flower,poke milkweed,swamp milkweed","Молочай из медовухи,белый молочай,кровавый цветок, молочай из медовухи,болотный молочай",1.0,1.0,,
knitting stitch,a stitch taken in knitting,"garter stitch,knit,purl,stockinette stitch","подвязочный стежок,трикотаж, выводок,чулочный стежок",1.0,1.0,,
Semite,-,Babylonian,Вавилонский,1.0,1.0,,
antiferromagnetism,magnetic field creates parallel but opposing spins; varies with temperature,ferrimagnetism,ферримагнетизм,1.0,1.0,,
rattlesnake,-,timber rattlesnake,древесная гремучая змея,1.0,1.0,,
cylinder,a surface generated by rotating a parallel line around a fixed line,"barrel,brake drum,pipe,shank,shank,shank,stalactite,stalagmite","ствол,тормозной барабан,труба,хвостовик,хвостовик,хвостовик,сталактит,сталагмит",1.0,1.0,,
transportation company,a company providing transportation,bus company,автобусная компания,1.0,1.0,,
temper,a disposition to exhibit uncontrolled anger,querulousness,Истец,1.0,1.0,,
reaction,doing something in opposition to another way of doing it that you don't like,backlash,люфт,1.0,1.0,,
drop,a small indefinite quantity (especially of a liquid); ; ; ; --Kipling,"droplet,eyedrop","капля, глазная капля",0.0,0.0,,
extraversion,(psychology) an extroverted disposition; concern with what is outside the self,outwardness,наружность,1.0,1.0,,
sandwich,-,hotdog,Хот-дог,0.0,0.0,,
laureate,someone honored for great achievements; figuratively someone crowned with a laurel wreath,Nobelist,Нобелевский лауре,1.0,1.0,,
chromatic color,-,yellow,жёлтый,1.0,1.0,,
"moment,inertia",a turning force produced by an object acting at a distance (or a measure of that force),moment of inertia,момент инерции,1.0,1.0,,
electric heater,a small electric space heater,heat lamp,Нагревательная лампа,0.0,0.0,,
bird of prey,-,vulture,гриф,1.0,1.0,,
matter,a vaguely specified concern,least,наименьший,0.0,0.0,,
sausage,-,pork sausage,свиная колбаса,0.0,0.0,,
seasnail,any of several creeping marine gastropods with a spirally coiled shell: whelks; tritons; moon shells; neritids,"moon shell,periwinkle,triton,whelk","лунная оболочка,барвинок,тритон,рот",1.0,1.0,,
one-step,an early ballroom dance; precursor to the fox-trot,turkey trot,индейка рысь,1.0,1.0,,
transportation company,a company providing transportation,bus company,автобусная компания,1.0,1.0,,
